Symbol,ALF,ALF,ALF,average,healthy,healthy,count,t-test,fold change
LINC01149,8.833229,8.784329,8.774684,8.797414,5.637749,5.620416,5.6290825,0.000001,1.562850429
CDH19,11.58750533,11.107247,10.645311,11.11335444,33.62934467,33.85556233,33.7424535,0.000009,0.32935822
SLCO1B3,103.359125,40.144684,24.842627,56.11547867,2924.124569,3032.892426,2978.508498,0.000012,0.0188401271
UXT,98.882833,84.495014,92.861204,92.07968367,456.476671,466.963182,461.7199265,0.000013,0.199427572
HINT1,600.6796368,680.8856466,696.8383592,659.4678809,2759.653796,2819.15042,2789.402108,0.00002,0.23641908
NARS2,36.642903,28.842309,40.665457,35.38355633,247.55451,249.770931,248.6627205,0.000021,0.14229538
AK3,76.034284,157.0075665,133.0507815,122.0308773,1585.407483,1605.617942,1595.512712,0.000022,0.0764838013
AZIN1,46.7817785,59.266364,51.6684995,52.572214,368.273171,383.7070395,375.9901053,0.000027,0.139823398
NR1H4,35.627753,27.76120333,41.81245333,35.06713656,300.3101237,310.4320987,305.3711112,0.00003,0.114834492
WDR72,22.6131845,20.353084,35.1533175,26.039862,272.5115875,270.646637,271.5791123,0.000032,0.0958831546
SCARNA13,12.6403085,12.68825,12.795564,12.70804083,17.1372545,17.395057,17.26615575,0.000033,0.736008699
PSMA7,306.832057,319.49694,350.329315,325.5527707,1045.150677,1066.47354,1055.812108,0.000036,0.308343472
CPB2,444.106395,11.842806,270.942663,242.297288,6717.618397,6812.611329,6765.114863,0.000036,0.0358156946
PPP1R1A,21.301358,28.5624315,26.3578785,25.40722267,177.3443175,185.685254,181.5147858,0.000042,0.139973295
CYP4F3,125.055786,12.288439,77.44562,71.596615,2073.11868,2175.297589,2124.208135,0.000047,0.0337050846
MTHFD2L,21.56256814,19.90200757,23.25550443,21.57336005,66.87989086,67.76907929,67.32448507,0.00005,0.320438545
SAR1B,91.9628894,61.1711542,99.041894,84.05864587,624.478896,617.728941,621.1039185,0.00005,0.135337491
MTO1,22.7844004,18.1294464,24.2427466,21.71886447,119.5550608,115.9361426,117.7456017,0.000051,0.184455845
THRSP,39.397094,39.99118167,22.842636,34.07697056,1235.581112,1146.805212,1191.193162,0.000055,0.0286074263
NNMT,28.509354,31.008588,31.524564,30.347502,91.686192,87.976034,89.831113,0.000064,0.337828409
PRRG4,45.5323895,38.9283165,32.440664,38.96712333,213.250042,207.795293,210.5226675,0.000064,0.185097043
C6,158.861402,19.428391,195.098343,124.462712,2792.395169,2930.45011,2861.42264,0.000069,0.0434967943
ADK,101.492647,44.6107905,89.2203685,78.44126867,777.972459,785.2739725,781.6232158,0.000072,0.100356882
MANEA,17.291676,15.140378,14.28334275,15.57179892,217.4976008,235.5569105,226.5272556,0.000075,0.0687413922
CD302,70.043433,61.182252,162.530246,97.91864367,2278.369962,2449.625364,2363.997663,0.000084,0.041420787
KLHL6,56.785834,59.08094875,61.254879,59.04055392,10.929201,10.14987925,10.53954012,0.000093,5.601814998
MED30,17.73569967,21.38722367,20.43208933,19.85167089,60.58738567,59.82291833,60.205152,0.0001,0.329733756
LYSMD3,24.867286,24.416748,57.238125,35.50738633,431.127003,440.03049,435.5787465,0.000103,0.0815177201
FZD5,66.4710545,43.618262,50.346934,53.47875017,351.328541,370.230194,360.7793675,0.000107,0.148231177
SNHG9,25.749535,27.646181,25.44446,26.28005867,50.478794,50.933803,50.7062985,0.000112,0.518279966
PCGF5,27.4317994,32.0838106,35.9531938,31.8229346,182.9673832,196.413832,189.6906076,0.000117,0.16776231
LARGE,45.6770865,45.489101,44.2854535,45.150547,28.3626565,29.0599185,28.7112875,0.000118,1.57257131
IRS1,47.94051233,41.09002033,60.57680567,49.86911278,243.332174,242.41917,242.875672,0.000122,0.20532774
FBXL3,33.2138635,55.147353,40.261956,42.87439083,268.9602315,263.504159,266.2321953,0.000125,0.161041345
DLD,30.1107885,39.501557,40.981657,36.8646675,191.1959655,181.166539,186.1812523,0.000127,0.198004187
QPRT,114.046986,92.626714,129.995449,112.2230497,545.145631,572.360949,558.75329,0.000127,0.200845439
HPGD,94.5108815,23.176406,27.96817575,48.55182108,1218.747674,1322.375751,1270.561712,0.000139,0.0382128791
CXADR,114.5428983,81.43352325,100.2558913,98.74410425,416.2551365,409.7121518,412.9836441,0.000142,0.23909931
